param_name,param_value,accuracy,precision,recall,f1,auc,dataset,algorithm
C,0.001,0.876,0.0,0.0,0.0,0.9391,diabetes,logistic_regression
C,0.01,0.876,0.0,0.0,0.0,0.9702,diabetes,logistic_regression
C,0.1,0.876,0.0,0.0,0.0,0.9773,diabetes,logistic_regression
C,1.0,0.9583,0.9885,0.6719,0.8,0.9828,diabetes,logistic_regression
C,10.0,0.9767,0.9643,0.8438,0.9,0.9824,diabetes,logistic_regression
C,100.0,0.9777,0.9487,0.8672,0.9061,0.978,diabetes,logistic_regression
penalty,L1,0.9612,0.94,0.7344,0.8246,0.9681,diabetes,logistic_regression
penalty,L2,0.9583,0.9885,0.6719,0.8,0.9828,diabetes,logistic_regression
max_depth,1,0.8886,0.8687,0.8886,0.8615,0.0,sms_spam,decision_tree
max_depth,2,0.907,0.8993,0.907,0.8892,0.0,sms_spam,decision_tree
max_depth,3,0.9225,0.9169,0.9225,0.9132,0.0,sms_spam,decision_tree
max_depth,5,0.9322,0.9284,0.9322,0.9256,0.0,sms_spam,decision_tree
max_depth,7,0.939,0.9357,0.939,0.9344,0.0,sms_spam,decision_tree
max_depth,10,0.9516,0.9505,0.9516,0.9481,0.0,sms_spam,decision_tree
max_depth,15,0.9506,0.9485,0.9506,0.9482,0.0,sms_spam,decision_tree
max_depth,20,0.9545,0.953,0.9545,0.9534,0.0,sms_spam,decision_tree
max_depth,,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
min_samples_split,2,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
min_samples_split,5,0.9496,0.95,0.9496,0.9498,0.0,sms_spam,decision_tree
min_samples_split,10,0.9545,0.9543,0.9545,0.9544,0.0,sms_spam,decision_tree
min_samples_split,20,0.9574,0.9563,0.9574,0.9566,0.0,sms_spam,decision_tree
min_samples_split,50,0.9525,0.9527,0.9525,0.9526,0.0,sms_spam,decision_tree
min_samples_split,100,0.9554,0.959,0.9554,0.9567,0.0,sms_spam,decision_tree
min_samples_leaf,1,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
min_samples_leaf,2,0.9574,0.9561,0.9574,0.9553,0.0,sms_spam,decision_tree
min_samples_leaf,5,0.9516,0.95,0.9516,0.9505,0.0,sms_spam,decision_tree
min_samples_leaf,10,0.9438,0.941,0.9438,0.9413,0.0,sms_spam,decision_tree
min_samples_leaf,20,0.9409,0.9379,0.9409,0.9383,0.0,sms_spam,decision_tree
min_samples_leaf,50,0.9234,0.9176,0.9234,0.9185,0.0,sms_spam,decision_tree
criterion,gini,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
criterion,entropy,0.9651,0.9647,0.9651,0.9649,0.0,sms_spam,decision_tree
criterion,log_loss,0.9651,0.9647,0.9651,0.9649,0.0,sms_spam,decision_tree
max_depth,1,0.8886,0.8687,0.8886,0.8615,0.0,sms_spam,decision_tree
max_depth,2,0.907,0.8993,0.907,0.8892,0.0,sms_spam,decision_tree
max_depth,3,0.9225,0.9169,0.9225,0.9132,0.0,sms_spam,decision_tree
max_depth,5,0.9322,0.9284,0.9322,0.9256,0.0,sms_spam,decision_tree
max_depth,7,0.939,0.9357,0.939,0.9344,0.0,sms_spam,decision_tree
max_depth,10,0.9516,0.9505,0.9516,0.9481,0.0,sms_spam,decision_tree
max_depth,15,0.9506,0.9485,0.9506,0.9482,0.0,sms_spam,decision_tree
max_depth,20,0.9545,0.953,0.9545,0.9534,0.0,sms_spam,decision_tree
max_depth,,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
min_samples_split,2,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
min_samples_split,5,0.9496,0.95,0.9496,0.9498,0.0,sms_spam,decision_tree
min_samples_split,10,0.9545,0.9543,0.9545,0.9544,0.0,sms_spam,decision_tree
min_samples_split,20,0.9574,0.9563,0.9574,0.9566,0.0,sms_spam,decision_tree
min_samples_split,50,0.9525,0.9527,0.9525,0.9526,0.0,sms_spam,decision_tree
min_samples_split,100,0.9554,0.959,0.9554,0.9567,0.0,sms_spam,decision_tree
min_samples_leaf,1,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
min_samples_leaf,2,0.9574,0.9561,0.9574,0.9553,0.0,sms_spam,decision_tree
min_samples_leaf,5,0.9516,0.95,0.9516,0.9505,0.0,sms_spam,decision_tree
min_samples_leaf,10,0.9438,0.941,0.9438,0.9413,0.0,sms_spam,decision_tree
min_samples_leaf,20,0.9409,0.9379,0.9409,0.9383,0.0,sms_spam,decision_tree
min_samples_leaf,50,0.9234,0.9176,0.9234,0.9185,0.0,sms_spam,decision_tree
criterion,gini,0.9574,0.9577,0.9574,0.9575,0.0,sms_spam,decision_tree
criterion,entropy,0.9651,0.9647,0.9651,0.9649,0.0,sms_spam,decision_tree
criterion,log_loss,0.9651,0.9647,0.9651,0.9649,0.0,sms_spam,decision_tree
