dataset,algorithm,param_name,param_value,accuracy,precision,recall,f1,auc,additional_info,n_neighbors,weights,metric
obesity,decision_tree,min_samples_split,5,0.9330143540669856,0.9329365693868954,0.9330143540669856,0.9324701090097204,0.9728830417799292,{},,,
obesity,decision_tree,min_samples_split,10,0.9282296650717703,0.9283085014311524,0.9282296650717703,0.9278830986437673,0.97101201894787,{},,,
obesity,decision_tree,min_samples_split,20,0.930622009569378,0.9309529893412367,0.930622009569378,0.9305665277174953,0.9770128192788379,{},,,
obesity,decision_tree,min_samples_split,50,0.9186602870813397,0.9189890172271975,0.9186602870813397,0.9187886516175854,0.9775785022953362,{},,,
obesity,decision_tree,min_samples_split,100,0.8277511961722488,0.8315257281689945,0.8277511961722488,0.8228593438873331,0.9759616865742348,{},,,
obesity,decision_tree,min_samples_leaf,1,0.9258373205741627,0.9266183186208888,0.9258373205741627,0.9259010264568622,0.9569059194441523,{},,,
obesity,decision_tree,min_samples_leaf,2,0.9425837320574163,0.9437929986337874,0.9425837320574163,0.9418714268074767,0.9783959211759676,{},,,
obesity,decision_tree,min_samples_leaf,5,0.930622009569378,0.9333840397780606,0.930622009569378,0.930612957406537,0.9855584438337635,{},,,
obesity,decision_tree,min_samples_leaf,10,0.9210526315789473,0.9210946938930807,0.9210526315789473,0.9208903337119708,0.98912984251458,{},,,
obesity,decision_tree,min_samples_leaf,20,0.9138755980861244,0.9137617051553079,0.9138755980861244,0.9130907454180759,0.9892157982114104,{},,,
obesity,decision_tree,min_samples_leaf,50,0.8229665071770335,0.8324889332692241,0.8229665071770335,0.8164519209581664,0.9762497249011249,{},,,
obesity,decision_tree,criterion,gini,0.9258373205741627,0.9266183186208888,0.9258373205741627,0.9259010264568622,0.9569059194441523,{},,,
obesity,decision_tree,criterion,entropy,0.9712918660287081,0.9717057184656974,0.9712918660287081,0.9712257869174419,0.9832049164501064,{},,,
obesity,decision_tree,criterion,log_loss,0.9712918660287081,0.9717057184656974,0.9712918660287081,0.9712257869174419,0.9832049164501064,{},,,
obesity,svm,C,0.01,0.6699999999999999,0.6712730968465869,0.6699999999999999,0.6505569654501036,0.9456452613273048,"{'n_support_vectors': 1049, 'training_time': 0.11006402969360352, 'kernel': 'linear'}",,,
obesity,svm,C,0.1,0.8713333333333333,0.8735807997607171,0.8713333333333333,0.8689512814364704,0.9868429234450844,"{'n_support_vectors': 812, 'training_time': 0.08866715431213379, 'kernel': 'linear'}",,,
