dataset,algorithm,parameter,metric,variance,std_dev,range,mean,min,max,cv,n_values
diabetes,svm,C,recall,0.04507633816053655,0.21231188888174998,0.39215686274509803,0.1550326797385621,0.0,0.39215686274509803,1.3694653878122995,5
diabetes,svm,C,f1,0.02286982564548404,0.15122772776671625,0.3098082409475375,0.10867179995607532,0.0,0.3098082409475375,1.3916004688230237,5
diabetes,svm,C,auc,0.0066775478225784436,0.08171626412519385,0.20126783495767442,0.6532979913728576,0.5183739611547098,0.7196417961123842,0.12508268080462506,5
diabetes,svm,kernel,accuracy,1.2500000000000577e-05,0.003535533905932819,0.0050000000000001155,0.8494999999999999,0.8469999999999999,0.852,0.00416189983040944,2
diabetes,svm,kernel,precision,0.20051944759021156,0.4477939789570775,0.6332763181901113,0.31663815909505566,0.0,0.6332763181901113,1.4142135623730951,2
diabetes,svm,kernel,recall,0.0038352770302020585,0.06192961351568455,0.08758169934640522,0.04379084967320261,0.0,0.08758169934640522,1.4142135623730951,2
diabetes,svm,kernel,f1,0.01168087585258123,0.10807810070768838,0.1528455158163381,0.07642275790816905,0.0,0.1528455158163381,1.4142135623730951,2
diabetes,svm,kernel,auc,0.00011095833569208318,0.010533676266721092,0.014896867838044558,0.7270902300314065,0.7196417961123842,0.7345386639504288,0.01448744025382667,2
har_smartphone,decision_tree,criterion,accuracy,1.4392947501781117e-06,0.0011997061099194718,0.0016966406515099841,0.8532405836443842,0.8523922633186292,0.8540889039701391,0.0014060584235166766,2
har_smartphone,decision_tree,criterion,precision,3.4355088344474175e-07,0.0005861321382118044,0.0008289160192018752,0.8543223192862762,0.8539078612766753,0.8547367772958772,0.0006860784565496016,2
har_smartphone,decision_tree,criterion,recall,1.4392947501781117e-06,0.0011997061099194718,0.0016966406515099841,0.8532405836443842,0.8523922633186292,0.8540889039701391,0.0014060584235166766,2
har_smartphone,decision_tree,criterion,f1,2.7701713905055854e-06,0.0016643831862000965,0.002353793274909921,0.8523869018664882,0.8512100052290332,0.8535637985039431,0.0019526146900610089,2
